raceId,year,round,name_race,date,circuitId,name_circuit
1,2009,1,Australian Grand Prix,2009-03-29,1,Albert Park Grand Prix Circuit
2,2009,2,Malaysian Grand Prix,2009-04-05,2,Sepang International Circuit
3,2009,3,Chinese Grand Prix,2009-04-19,17,Shanghai International Circuit
4,2009,4,Bahrain Grand Prix,2009-04-26,3,Bahrain International Circuit
5,2009,5,Spanish Grand Prix,2009-05-10,4,Circuit de Barcelona-Catalunya
6,2009,6,Monaco Grand Prix,2009-05-24,6,Circuit de Monaco
7,2009,7,Turkish Grand Prix,2009-06-07,5,Istanbul Park
8,2009,8,British Grand Prix,2009-06-21,9,Silverstone Circuit
9,2009,9,German Grand Prix,2009-07-12,20,Nürburgring
10,2009,10,Hungarian Grand Prix,2009-07-26,11,Hungaroring
11,2009,11,European Grand Prix,2009-08-23,12,Valencia Street Circuit
12,2009,12,Belgian Grand Prix,2009-08-30,13,Circuit de Spa-Francorchamps
13,2009,13,Italian Grand Prix,2009-09-13,14,Autodromo Nazionale di Monza
14,2009,14,Singapore Grand Prix,2009-09-27,15,Marina Bay Street Circuit
15,2009,15,Japanese Grand Prix,2009-10-04,22,Suzuka Circuit
16,2009,16,Brazilian Grand Prix,2009-10-18,18,Autódromo José Carlos Pace
17,2009,17,Abu Dhabi Grand Prix,2009-11-01,24,Yas Marina Circuit
18,2008,1,Australian Grand Prix,2008-03-16,1,Albert Park Grand Prix Circuit
19,2008,2,Malaysian Grand Prix,2008-03-23,2,Sepang International Circuit
20,2008,3,Bahrain Grand Prix,2008-04-06,3,Bahrain International Circuit
21,2008,4,Spanish Grand Prix,2008-04-27,4,Circuit de Barcelona-Catalunya
22,2008,5,Turkish Grand Prix,2008-05-11,5,Istanbul Park
23,2008,6,Monaco Grand Prix,2008-05-25,6,Circuit de Monaco
24,2008,7,Canadian Grand Prix,2008-06-08,7,Circuit Gilles Villeneuve
25,2008,8,French Grand Prix,2008-06-22,8,Circuit de Nevers Magny-Cours
26,2008,9,British Grand Prix,2008-07-06,9,Silverstone Circuit
27,2008,10,German Grand Prix,2008-07-20,10,Hockenheimring
28,2008,11,Hungarian Grand Prix,2008-08-03,11,Hungaroring
29,2008,12,European Grand Prix,2008-08-24,12,Valencia Street Circuit
30,2008,13,Belgian Grand Prix,2008-09-07,13,Circuit de Spa-Francorchamps
31,2008,14,Italian Grand Prix,2008-09-14,14,Autodromo Nazionale di Monza
32,2008,15,Singapore Grand Prix,2008-09-28,15,Marina Bay Street Circuit
33,2008,16,Japanese Grand Prix,2008-10-12,16,Fuji Speedway
34,2008,17,Chinese Grand Prix,2008-10-19,17,Shanghai International Circuit
35,2008,18,Brazilian Grand Prix,2008-11-02,18,Autódromo José Carlos Pace
36,2007,1,Australian Grand Prix,2007-03-18,1,Albert Park Grand Prix Circuit
37,2007,2,Malaysian Grand Prix,2007-04-08,2,Sepang International Circuit
38,2007,3,Bahrain Grand Prix,2007-04-15,3,Bahrain International Circuit
39,2007,4,Spanish Grand Prix,2007-05-13,4,Circuit de Barcelona-Catalunya
40,2007,5,Monaco Grand Prix,2007-05-27,6,Circuit de Monaco
41,2007,6,Canadian Grand Prix,2007-06-10,7,Circuit Gilles Villeneuve
42,2007,7,United States Grand Prix,2007-06-17,19,Indianapolis Motor Speedway
43,2007,8,French Grand Prix,2007-07-01,8,Circuit de Nevers Magny-Cours
44,2007,9,British Grand Prix,2007-07-08,9,Silverstone Circuit
45,2007,10,European Grand Prix,2007-07-22,20,Nürburgring
46,2007,11,Hungarian Grand Prix,2007-08-05,11,Hungaroring
47,2007,12,Turkish Grand Prix,2007-08-26,5,Istanbul Park
48,2007,13,Italian Grand Prix,2007-09-09,14,Autodromo Nazionale di Monza
49,2007,14,Belgian Grand Prix,2007-09-16,13,Circuit de Spa-Francorchamps
50,2007,15,Japanese Grand Prix,2007-09-30,16,Fuji Speedway
51,2007,16,Chinese Grand Prix,2007-10-07,17,Shanghai International Circuit
52,2007,17,Brazilian Grand Prix,2007-10-21,18,Autódromo José Carlos Pace
53,2006,1,Bahrain Grand Prix,2006-03-12,3,Bahrain International Circuit
54,2006,2,Malaysian Grand Prix,2006-03-19,2,Sepang International Circuit
55,2006,3,Australian Grand Prix,2006-04-02,1,Albert Park Grand Prix Circuit
56,2006,4,San Marino Grand Prix,2006-04-23,21,Autodromo Enzo e Dino Ferrari
57,2006,5,European Grand Prix,2006-05-07,20,Nürburgring
